endpoint,operation,msglen,time
client,hash,4096,52
server,verify,4096,54
server,hash,4096,47
client,verify,4096,49
client,hash,4096,48
server,verify,4096,51
server,hash,4096,47
client,verify,4096,50
client,hash,4096,48
server,verify,4096,51
server,hash,4096,48
client,verify,4096,49
client,hash,4096,47
server,verify,4096,50
server,hash,4096,48
client,verify,4096,53
client,hash,4096,61
server,verify,4096,51
server,hash,4096,47
client,verify,4096,78
client,hash,8192,88
server,verify,8192,92
server,hash,8192,89
client,verify,8192,91
client,hash,8192,89
server,verify,8192,92
server,hash,8192,89
client,verify,8192,92
client,hash,8192,88
server,verify,8192,98
server,hash,8192,88
client,verify,8192,91
client,hash,8192,88
server,verify,8192,90
server,hash,8192,89
client,verify,8192,101
client,hash,8192,125
server,verify,8192,92
server,hash,8192,103
client,verify,8192,91
client,hash,16384,183
server,verify,16384,176
server,hash,16384,171
client,verify,16384,174
client,hash,16384,190
server,verify,16384,176
server,hash,16384,179
client,verify,16384,195
client,hash,16384,178
server,verify,16384,195
server,hash,16384,170
client,verify,16384,198
client,hash,16384,171
server,verify,16384,193
server,hash,16384,191
client,verify,16384,176
client,hash,16384,170
server,verify,16384,195
server,hash,16384,185
client,verify,16384,194
