endpoint,operation,msglen,time
client,hash,4096,23
server,verify,4096,24
server,hash,4096,22
client,verify,4096,24
client,hash,4096,22
server,verify,4096,35
server,hash,4096,22
client,verify,4096,24
client,hash,4096,23
server,verify,4096,24
server,hash,4096,22
client,verify,4096,25
client,hash,4096,22
server,verify,4096,24
server,hash,4096,23
client,verify,4096,24
client,hash,4096,23
server,verify,4096,23
server,hash,4096,22
client,verify,4096,25
client,hash,8192,40
server,verify,8192,43
server,hash,8192,41
client,verify,8192,43
client,hash,8192,58
server,verify,8192,42
server,hash,8192,39
client,verify,8192,43
client,hash,8192,40
server,verify,8192,43
server,hash,8192,40
client,verify,8192,43
client,hash,8192,40
server,verify,8192,44
server,hash,8192,40
client,verify,8192,43
client,hash,8192,40
server,verify,8192,43
server,hash,8192,40
client,verify,8192,53
client,hash,16384,110
server,verify,16384,81
server,hash,16384,76
client,verify,16384,90
client,hash,16384,84
server,verify,16384,81
server,hash,16384,76
client,verify,16384,81
client,hash,16384,98
server,verify,16384,80
server,hash,16384,76
client,verify,16384,81
client,hash,16384,80
server,verify,16384,81
server,hash,16384,84
client,verify,16384,81
client,hash,16384,76
server,verify,16384,80
server,hash,16384,76
client,verify,16384,81
