endpoint,operation,msglen,time
client,hash,8192,145
server,verify,8192,101
server,hash,8192,92
client,verify,8192,90
client,hash,8192,101
server,verify,8192,115
server,hash,8192,123
client,verify,8192,102
client,hash,8192,91
server,verify,8192,90
server,hash,8192,92
client,verify,8192,102
client,hash,8192,90
server,verify,8192,98
server,hash,8192,90
client,verify,8192,93
client,hash,8192,90
server,verify,8192,90
server,hash,8192,91
client,verify,8192,114
client,hash,16384,175
server,verify,16384,171
server,hash,16384,172
client,verify,16384,174
client,hash,16384,173
server,verify,16384,187
server,hash,16384,173
client,verify,16384,175
client,hash,16384,175
server,verify,16384,183
server,hash,16384,177
client,verify,16384,201
client,hash,16384,176
server,verify,16384,204
server,hash,16384,175
client,verify,16384,202
client,hash,16384,197
server,verify,16384,207
server,hash,16384,173
client,verify,16384,226
