endpoint,operation,msglen,time
client,digest,8192,38
server,verify,8192,45
server,digest,8192,41
client,verify,8192,43
client,digest,8192,58
server,verify,8192,44
server,digest,8192,40
client,verify,8192,165
client,digest,8192,40
server,verify,8192,44
server,digest,8192,40
client,verify,8192,43
client,digest,8192,41
server,verify,8192,55
server,digest,8192,40
client,verify,8192,46
client,digest,8192,47
server,verify,8192,44
server,digest,8192,52
client,verify,8192,42
client,digest,16384,104
server,verify,16384,82
server,digest,16384,108
client,verify,16384,78
client,digest,16384,124
server,verify,16384,241
server,digest,16384,75
client,verify,16384,84
client,digest,16384,76
server,verify,16384,79
server,digest,16384,75
client,verify,16384,81
client,digest,16384,80
server,verify,16384,82
server,digest,16384,77
client,verify,16384,81
client,digest,16384,81
server,verify,16384,81
server,digest,16384,76
client,verify,16384,102
